address, amount
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
"0x39717eaa6729d4a6ff4fab7206dd52107b5145ef",5
"0xb3fd0b9b31fbd2b78089bbab50cb2477c567a936",5
"0x457ece394abe74bd6f10adceb0def5e667c0cb59",5
"0xab033c65b0c346cb0b715007a004c3a4f4cf1c0b",5
"0x31f7ab61f8669cf83e96b1ec600168be543afc13",2
"0x8f93daa325708c6e7a83e3b4e9aa641f1b73661c",3
"0x26f0546046acbc98194e13cbccbf139985c9110c",4
"0x198eb10b123249975e1573209bdd537a00c7ae9f",5
"0x62ff86d5cbf8385c244cff0f32bd89ed8a5ddc6c",5
"0x361d5362ef3e38a34e40b8e8220230c84335a5eb",5
"0xcde3e2df4e31fcd24ac122d400da24220e281fb0",5
"0xf17ca5da3e232a2eb068046f72a8ca91c90bb168",5
"0x02fb2faec1e7ef4ce277cd509856020d47f8fca0",5
"0x895a921599ba47c3e7921abf359dc66b9f7b0cab",5
"0x832b9581be6b431c8e2ab6c3e7bcbe2d34b7bac4",5
"0xa6af389501b7eeacb976aec3bbf52510706ea44d",5
